file,subset,label,duration_s,segments
a0001.wav,training-a,-1,35.67,34
a0002.wav,training-a,-1,20.83,19
a0003.wav,training-a,-1,30.72,29
a0004.wav,training-a,-1,35.6,34
a0005.wav,training-a,-1,35.67,34
a0006.wav,training-a,-1,20.76,19
a0007.wav,training-a,1,35.67,34
a0008.wav,training-a,-1,35.81,34
a0009.wav,training-a,1,35.81,34
a0010.wav,training-a,-1,35.74,34
a0011.wav,training-a,1,35.6,34
a0012.wav,training-a,1,30.86,29
a0013.wav,training-a,-1,35.67,34
a0014.wav,training-a,-1,35.74,34
a0015.wav,training-a,-1,35.74,34
a0016.wav,training-a,1,30.79,29
a0017.wav,training-a,-1,35.67,34
a0018.wav,training-a,-1,20.9,19
a0019.wav,training-a,1,30.86,29
a0020.wav,training-a,-1,35.67,34
a0021.wav,training-a,-1,35.6,34
a0022.wav,training-a,-1,36.15,35
a0023.wav,training-a,-1,30.58,29
a0024.wav,training-a,-1,20.69,19
a0025.wav,training-a,1,31.14,30
a0026.wav,training-a,-1,35.6,34
a0027.wav,training-a,1,31.14,30
a0028.wav,training-a,1,30.86,29
a0029.wav,training-a,1,30.72,29
a0030.wav,training-a,-1,36.22,35
a0031.wav,training-a,-1,35.6,34
a0032.wav,training-a,1,35.67,34
a0033.wav,training-a,-1,35.67,34
a0034.wav,training-a,-1,30.58,29
a0035.wav,training-a,1,28.98,27
a0036.wav,training-a,-1,35.94,34
a0037.wav,training-a,-1,35.74,34
a0038.wav,training-a,1,34.63,33
a0039.wav,training-a,-1,30.72,29
a0040.wav,training-a,-1,35.67,34
a0041.wav,training-a,-1,35.11,34
a0042.wav,training-a,-1,36.15,35
a0043.wav,training-a,-1,35.6,34
a0044.wav,training-a,-1,30.65,29
a0045.wav,training-a,-1,35.88,34
a0046.wav,training-a,-1,35.74,34
a0047.wav,training-a,-1,35.6,34
a0048.wav,training-a,-1,36.22,35
a0049.wav,training-a,1,30.86,29
a0050.wav,training-a,1,30.65,29
a0051.wav,training-a,-1,35.6,34
a0052.wav,training-a,-1,35.74,34
a0053.wav,training-a,1,35.88,34
a0054.wav,training-a,-1,35.67,34
a0055.wav,training-a,1,35.67,34
a0056.wav,training-a,-1,30.79,29
a0057.wav,training-a,-1,35.94,34
a0058.wav,training-a,-1,20.62,19
a0059.wav,training-a,-1,35.67,34
a0060.wav,training-a,-1,35.67,34
a0061.wav,training-a,-1,30.79,29
a0062.wav,training-a,-1,36.08,35
a0063.wav,training-a,-1,35.67,34
a0064.wav,training-a,-1,35.6,34
a0065.wav,training-a,-1,35.74,34
a0066.wav,training-a,-1,35.6,34
a0067.wav,training-a,-1,20.83,19
a0068.wav,training-a,1,35.74,34
a0069.wav,training-a,1,31.0,29
a0070.wav,training-a,1,30.79,29
a0071.wav,training-a,1,29.63,28
a0072.wav,training-a,-1,36.29,35
a0073.wav,training-a,-1,35.67,34
a0074.wav,training-a,-1,35.6,34
a0075.wav,training-a,-1,35.74,34
a0076.wav,training-a,-1,35.67,34
a0077.wav,training-a,-1,35.74,34
a0078.wav,training-a,-1,35.74,34
a0079.wav,training-a,-1,30.65,29
a0080.wav,training-a,1,31.0,29
a0081.wav,training-a,1,35.67,34
a0082.wav,training-a,-1,30.65,29
a0083.wav,training-a,-1,35.67,34
a0084.wav,training-a,-1,30.79,29
a0085.wav,training-a,1,30.86,29
a0086.wav,training-a,1,36.22,35
a0087.wav,training-a,-1,20.62,19
a0088.wav,training-a,1,36.01,35
a0089.wav,training-a,-1,20.97,19
a0090.wav,training-a,-1,20.41,19
a0091.wav,training-a,1,30.65,29
a0092.wav,training-a,-1,35.88,34
a0093.wav,training-a,1,30.72,29
a0094.wav,training-a,1,35.67,34
a0095.wav,training-a,-1,35.6,34
a0096.wav,training-a,-1,35.67,34
a0097.wav,training-a,-1,35.67,34
a0098.wav,training-a,-1,28.54,27
a0099.wav,training-a,-1,35.67,34
a0100.wav,training-a,-1,20.62,19
a0101.wav,training-a,-1,35.81,34
a0102.wav,training-a,1,35.6,34
a0103.wav,training-a,-1,20.9,19
a0104.wav,training-a,-1,20.62,19
a0105.wav,training-a,1,35.24,34
a0106.wav,training-a,1,35.67,34
a0107.wav,training-a,-1,36.29,35
a0108.wav,training-a,1,32.48,31
a0109.wav,training-a,1,30.65,29
a0110.wav,training-a,-1,35.6,34
a0111.wav,training-a,-1,35.67,34
a0112.wav,training-a,-1,36.15,35
a0113.wav,training-a,-1,36.15,35
a0114.wav,training-a,-1,35.74,34
a0115.wav,training-a,-1,36.01,35
a0116.wav,training-a,-1,20.69,19
a0117.wav,training-a,-1,35.11,34
a0118.wav,training-a,1,30.86,29
a0119.wav,training-a,-1,35.74,34
a0120.wav,training-a,-1,36.08,35
a0121.wav,training-a,-1,35.67,34
a0122.wav,training-a,-1,35.67,34
a0123.wav,training-a,-1,20.62,19
a0124.wav,training-a,-1,35.88,34
a0125.wav,training-a,1,35.67,34
a0126.wav,training-a,-1,35.67,34
a0127.wav,training-a,1,35.6,34
a0128.wav,training-a,-1,35.67,34
a0129.wav,training-a,1,36.29,35
a0130.wav,training-a,-1,35.6,34
a0131.wav,training-a,-1,19.46,18
a0132.wav,training-a,-1,30.62,29
a0133.wav,training-a,-1,36.15,35
a0134.wav,training-a,-1,35.94,34
a0135.wav,training-a,-1,35.6,34
a0136.wav,training-a,1,30.79,29
a0137.wav,training-a,-1,35.81,34
a0138.wav,training-a,-1,21.04,20
a0139.wav,training-a,1,31.14,30
a0140.wav,training-a,1,35.67,34
a0141.wav,training-a,1,30.86,29
a0142.wav,training-a,-1,35.67,34
a0143.wav,training-a,-1,35.67,34
a0144.wav,training-a,-1,36.29,35
a0145.wav,training-a,-1,36.29,35
a0146.wav,training-a,-1,30.65,29
a0147.wav,training-a,-1,35.67,34
a0148.wav,training-a,-1,36.08,35
a0149.wav,training-a,-1,35.81,34
a0150.wav,training-a,-1,36.01,35
a0151.wav,training-a,-1,35.6,34
a0152.wav,training-a,-1,35.6,34
a0153.wav,training-a,1,30.65,29
a0154.wav,training-a,1,30.86,29
a0155.wav,training-a,1,35.74,34
a0156.wav,training-a,-1,20.76,19
a0157.wav,training-a,-1,35.94,34
a0158.wav,training-a,-1,20.83,19
a0159.wav,training-a,-1,35.74,34
a0160.wav,training-a,-1,35.6,34
a0161.wav,training-a,1,35.88,34
a0162.wav,training-a,-1,20.62,19
a0163.wav,training-a,-1,30.65,29
a0164.wav,training-a,-1,36.29,35
a0165.wav,training-a,1,30.86,29
a0166.wav,training-a,-1,35.74,34
a0167.wav,training-a,-1,35.6,34
a0168.wav,training-a,-1,35.6,34
a0169.wav,training-a,-1,35.6,34
a0170.wav,training-a,-1,35.6,34
a0171.wav,training-a,1,35.6,34
a0172.wav,training-a,-1,35.74,34
a0173.wav,training-a,-1,20.69,19
a0174.wav,training-a,-1,21.18,20
a0175.wav,training-a,-1,30.58,29
a0176.wav,training-a,-1,35.67,34
a0177.wav,training-a,-1,35.74,34
a0178.wav,training-a,1,35.67,34
a0179.wav,training-a,1,30.86,29
a0180.wav,training-a,-1,36.01,35
a0181.wav,training-a,1,35.81,34
a0182.wav,training-a,-1,35.81,34
a0183.wav,training-a,-1,35.67,34
a0184.wav,training-a,1,35.6,34
a0185.wav,training-a,1,35.67,34
a0186.wav,training-a,-1,35.67,34
a0187.wav,training-a,-1,35.74,34
a0188.wav,training-a,-1,36.29,35
a0189.wav,training-a,1,36.01,35
a0190.wav,training-a,-1,35.6,34
a0191.wav,training-a,-1,36.22,35
a0192.wav,training-a,-1,35.88,34
a0193.wav,training-a,1,30.86,29
a0194.wav,training-a,-1,20.69,19
a0195.wav,training-a,1,30.86,29
a0196.wav,training-a,1,30.72,29
a0197.wav,training-a,-1,35.67,34
a0198.wav,training-a,-1,35.67,34
a0199.wav,training-a,1,35.88,34
a0200.wav,training-a,-1,36.01,35
a0201.wav,training-a,-1,35.6,34
a0202.wav,training-a,-1,36.15,35
a0203.wav,training-a,-1,35.88,34
a0204.wav,training-a,1,31.07,30
a0205.wav,training-a,-1,20.62,19
a0206.wav,training-a,-1,35.6,34
a0207.wav,training-a,-1,35.74,34
a0208.wav,training-a,1,33.23,32
a0209.wav,training-a,-1,35.6,34
a0210.wav,training-a,1,30.79,29
a0211.wav,training-a,1,30.65,29
a0212.wav,training-a,1,35.67,34
a0213.wav,training-a,-1,36.08,35
a0214.wav,training-a,-1,35.6,34
a0215.wav,training-a,-1,36.15,35
a0216.wav,training-a,-1,35.6,34
a0217.wav,training-a,-1,35.6,34
a0218.wav,training-a,-1,35.67,34
a0219.wav,training-a,-1,35.6,34
a0220.wav,training-a,-1,35.11,34
a0221.wav,training-a,-1,35.6,34
a0222.wav,training-a,-1,30.86,29
a0223.wav,training-a,-1,20.69,19
a0224.wav,training-a,-1,36.22,35
a0225.wav,training-a,-1,35.6,34
a0226.wav,training-a,-1,31.04,30
a0227.wav,training-a,1,30.65,29
a0228.wav,training-a,-1,27.17,26
a0229.wav,training-a,1,30.79,29
a0230.wav,training-a,-1,36.22,35
a0231.wav,training-a,1,30.86,29
a0232.wav,training-a,-1,36.22,35
a0233.wav,training-a,-1,35.67,34
a0234.wav,training-a,-1,35.67,34
a0235.wav,training-a,1,30.58,29
a0236.wav,training-a,-1,36.01,35
a0237.wav,training-a,-1,35.6,34
a0238.wav,training-a,1,9.27,8
a0239.wav,training-a,-1,20.9,19
a0240.wav,training-a,-1,35.67,34
a0241.wav,training-a,1,35.6,34
a0242.wav,training-a,-1,35.6,34
a0243.wav,training-a,1,36.22,35
a0244.wav,training-a,-1,35.6,34
a0245.wav,training-a,-1,35.74,34
a0246.wav,training-a,-1,35.67,34
a0247.wav,training-a,-1,35.67,34
a0248.wav,training-a,-1,30.53,29
a0249.wav,training-a,-1,35.67,34
a0250.wav,training-a,1,31.0,29
a0251.wav,training-a,-1,20.62,19
a0252.wav,training-a,-1,21.04,20
a0253.wav,training-a,1,35.81,34
a0254.wav,training-a,-1,31.33,30
a0255.wav,training-a,-1,35.81,34
a0256.wav,training-a,-1,20.83,19
a0257.wav,training-a,-1,35.81,34
a0258.wav,training-a,-1,35.74,34
a0259.wav,training-a,-1,35.94,34
a0260.wav,training-a,-1,35.74,34
a0261.wav,training-a,-1,35.6,34
a0262.wav,training-a,-1,35.67,34
a0263.wav,training-a,-1,30.79,29
a0264.wav,training-a,1,30.79,29
a0265.wav,training-a,-1,20.97,19
a0266.wav,training-a,1,35.6,34
a0267.wav,training-a,-1,20.69,19
a0268.wav,training-a,-1,30.86,29
a0269.wav,training-a,-1,35.6,34
a0270.wav,training-a,1,30.79,29
a0271.wav,training-a,1,30.86,29
a0272.wav,training-a,-1,35.88,34
a0273.wav,training-a,-1,35.81,34
a0274.wav,training-a,1,36.22,35
a0275.wav,training-a,-1,30.86,29
a0276.wav,training-a,-1,35.81,34
a0277.wav,training-a,-1,31.14,30
a0278.wav,training-a,-1,35.6,34
a0279.wav,training-a,-1,35.6,34
a0280.wav,training-a,-1,35.74,34
a0281.wav,training-a,-1,28.57,27
a0282.wav,training-a,-1,35.74,34
a0283.wav,training-a,1,30.79,29
a0284.wav,training-a,-1,35.67,34
a0285.wav,training-a,1,35.67,34
a0286.wav,training-a,-1,35.67,34
a0287.wav,training-a,1,30.86,29
a0288.wav,training-a,-1,35.6,34
a0289.wav,training-a,1,30.86,29
a0290.wav,training-a,1,31.14,30
a0291.wav,training-a,-1,35.67,34
a0292.wav,training-a,-1,36.22,35
a0293.wav,training-a,1,30.72,29
a0294.wav,training-a,1,35.88,34
a0295.wav,training-a,-1,35.81,34
a0296.wav,training-a,-1,12.98,11
a0297.wav,training-a,-1,35.67,34
a0298.wav,training-a,1,31.0,29
a0299.wav,training-a,1,30.86,29
a0300.wav,training-a,-1,30.72,29
a0301.wav,training-a,1,30.79,29
a0302.wav,training-a,1,36.01,35
a0303.wav,training-a,-1,35.81,34
a0304.wav,training-a,1,35.67,34
a0305.wav,training-a,-1,35.74,34
a0306.wav,training-a,-1,30.65,29
a0307.wav,training-a,-1,34.16,33
a0308.wav,training-a,-1,32.94,31
a0309.wav,training-a,1,30.86,29
a0310.wav,training-a,1,30.86,29
a0311.wav,training-a,1,30.86,29
a0312.wav,training-a,-1,35.67,34
a0313.wav,training-a,-1,35.6,34
a0314.wav,training-a,-1,20.62,19
a0315.wav,training-a,-1,20.62,19
a0316.wav,training-a,-1,20.62,19
a0317.wav,training-a,-1,35.74,34
a0318.wav,training-a,-1,21.8,20
a0319.wav,training-a,-1,36.01,35
a0320.wav,training-a,-1,35.81,34
a0321.wav,training-a,-1,30.65,29
a0322.wav,training-a,-1,30.86,29
a0323.wav,training-a,1,20.62,19
a0324.wav,training-a,-1,36.5,35
a0325.wav,training-a,1,36.15,35
a0326.wav,training-a,-1,35.74,34
a0327.wav,training-a,-1,35.67,34
a0328.wav,training-a,1,30.72,29
a0329.wav,training-a,1,36.15,35
a0330.wav,training-a,1,35.67,34
a0331.wav,training-a,-1,28.56,27
a0332.wav,training-a,1,36.08,35
a0333.wav,training-a,-1,35.74,34
a0334.wav,training-a,1,35.67,34
a0335.wav,training-a,-1,36.29,35
a0336.wav,training-a,-1,12.79,11
a0337.wav,training-a,1,30.86,29
a0338.wav,training-a,-1,35.88,34
a0339.wav,training-a,-1,35.67,34
a0340.wav,training-a,1,35.6,34
a0341.wav,training-a,-1,33.36,32
a0342.wav,training-a,1,31.14,30
a0343.wav,training-a,-1,36.29,35
a0344.wav,training-a,-1,35.6,34
a0345.wav,training-a,-1,35.6,34
a0346.wav,training-a,-1,35.6,34
a0347.wav,training-a,-1,20.69,19
a0348.wav,training-a,-1,36.15,35
a0349.wav,training-a,-1,35.6,34
a0350.wav,training-a,-1,32.08,31
a0351.wav,training-a,1,35.67,34
a0352.wav,training-a,1,36.29,35
a0353.wav,training-a,1,30.65,29
a0354.wav,training-a,-1,35.67,34
a0355.wav,training-a,1,36.22,35
a0356.wav,training-a,-1,35.67,34
a0357.wav,training-a,-1,30.86,29
a0358.wav,training-a,-1,20.62,19
a0359.wav,training-a,1,30.65,29
a0360.wav,training-a,-1,20.62,19
a0361.wav,training-a,1,31.0,29
a0362.wav,training-a,-1,35.88,34
a0363.wav,training-a,-1,35.6,34
a0364.wav,training-a,-1,35.94,34
a0365.wav,training-a,-1,30.65,29
a0366.wav,training-a,-1,35.67,34
a0367.wav,training-a,-1,35.6,34
a0368.wav,training-a,-1,30.72,29
a0369.wav,training-a,-1,20.83,19
a0370.wav,training-a,-1,35.67,34
a0371.wav,training-a,-1,20.97,19
a0372.wav,training-a,-1,35.67,34
a0373.wav,training-a,-1,30.65,29
a0374.wav,training-a,-1,35.81,34
a0375.wav,training-a,-1,30.86,29
a0376.wav,training-a,-1,35.81,34
a0377.wav,training-a,-1,36.29,35
a0378.wav,training-a,-1,35.6,34
a0379.wav,training-a,-1,35.6,34
a0380.wav,training-a,-1,35.67,34
a0381.wav,training-a,-1,35.74,34
a0382.wav,training-a,-1,20.83,19
a0383.wav,training-a,-1,20.83,19
a0384.wav,training-a,-1,30.72,29
a0385.wav,training-a,1,20.97,19
a0386.wav,training-a,1,36.01,35
a0387.wav,training-a,-1,35.67,34
a0388.wav,training-a,-1,35.6,34
a0389.wav,training-a,-1,36.22,35
a0390.wav,training-a,-1,35.74,34
a0391.wav,training-a,-1,35.74,34
a0392.wav,training-a,-1,35.67,34
a0393.wav,training-a,1,35.6,34
a0394.wav,training-a,-1,24.69,23
a0395.wav,training-a,-1,14.79,13
a0396.wav,training-a,-1,35.81,34
a0397.wav,training-a,-1,30.65,29
a0398.wav,training-a,-1,35.94,34
a0399.wav,training-a,-1,36.01,35
a0400.wav,training-a,-1,16.32,15
a0401.wav,training-a,1,36.22,35
a0402.wav,training-a,-1,36.29,35
a0403.wav,training-a,-1,36.29,35
a0404.wav,training-a,-1,30.79,29
a0405.wav,training-a,1,12.53,11
a0406.wav,training-a,1,35.6,34
a0407.wav,training-a,1,35.67,34
a0408.wav,training-a,1,30.58,29
a0409.wav,training-a,1,30.72,29
b0001.wav,training-b,1,8.0,7
b0002.wav,training-b,1,8.0,7
b0003.wav,training-b,1,8.0,7
b0004.wav,training-b,1,8.0,7
b0005.wav,training-b,1,8.0,7
b0006.wav,training-b,1,8.0,7
b0007.wav,training-b,1,8.0,7
b0008.wav,training-b,-1,8.0,7
b0009.wav,training-b,1,8.0,7
b0010.wav,training-b,1,8.0,7
b0011.wav,training-b,1,8.0,7
b0012.wav,training-b,1,8.0,7
b0013.wav,training-b,-1,8.0,7
b0014.wav,training-b,1,8.0,7
b0015.wav,training-b,1,8.0,7
b0016.wav,training-b,-1,8.0,7
b0017.wav,training-b,1,8.0,7
b0018.wav,training-b,-1,8.0,7
b0019.wav,training-b,1,8.0,7
b0020.wav,training-b,1,8.0,7
b0021.wav,training-b,1,8.0,7
b0022.wav,training-b,-1,8.0,7
b0023.wav,training-b,-1,8.0,7
b0024.wav,training-b,1,8.0,7
b0025.wav,training-b,1,8.0,7
b0026.wav,training-b,1,8.0,7
b0027.wav,training-b,1,8.0,7
b0028.wav,training-b,1,8.0,7
b0029.wav,training-b,1,8.0,7
b0030.wav,training-b,-1,8.0,7
b0031.wav,training-b,1,6.99,5
b0032.wav,training-b,-1,8.0,7
b0033.wav,training-b,-1,5.31,4
b0034.wav,training-b,1,8.0,7
b0035.wav,training-b,1,8.0,7
b0036.wav,training-b,1,8.0,7
b0037.wav,training-b,-1,6.85,5
b0038.wav,training-b,1,8.0,7
b0039.wav,training-b,1,8.0,7
b0040.wav,training-b,-1,8.0,7
b0041.wav,training-b,-1,8.0,7
b0042.wav,training-b,1,8.0,7
b0043.wav,training-b,-1,8.0,7
b0044.wav,training-b,1,8.0,7
b0045.wav,training-b,1,8.0,7
b0046.wav,training-b,-1,8.0,7
b0047.wav,training-b,1,8.0,7
b0048.wav,training-b,-1,8.0,7
b0049.wav,training-b,1,8.0,7
b0050.wav,training-b,1,8.0,7
b0051.wav,training-b,1,8.0,7
b0052.wav,training-b,1,8.0,7
b0053.wav,training-b,1,8.0,7
b0054.wav,training-b,-1,8.0,7
b0055.wav,training-b,1,8.0,7
b0056.wav,training-b,1,8.0,7
b0057.wav,training-b,-1,8.0,7
b0058.wav,training-b,1,8.0,7
b0059.wav,training-b,1,8.0,7
b0060.wav,training-b,1,8.0,7
b0061.wav,training-b,1,8.0,7
b0062.wav,training-b,1,8.0,7
b0063.wav,training-b,-1,8.0,7
b0064.wav,training-b,1,8.0,7
b0065.wav,training-b,1,8.0,7
b0066.wav,training-b,1,8.0,7
b0067.wav,training-b,1,8.0,7
b0068.wav,training-b,-1,8.0,7
b0069.wav,training-b,1,8.0,7
b0070.wav,training-b,1,8.0,7
b0071.wav,training-b,1,8.0,7
b0072.wav,training-b,1,8.0,7
b0073.wav,training-b,1,8.0,7
b0074.wav,training-b,1,8.0,7
b0075.wav,training-b,1,8.0,7
b0076.wav,training-b,1,8.0,7
b0077.wav,training-b,-1,8.0,7
b0078.wav,training-b,1,8.0,7
b0079.wav,training-b,1,8.0,7
b0080.wav,training-b,1,8.0,7
b0081.wav,training-b,-1,8.0,7
b0082.wav,training-b,1,8.0,7
b0083.wav,training-b,1,8.0,7
b0084.wav,training-b,1,8.0,7
b0085.wav,training-b,1,8.0,7
b0086.wav,training-b,-1,8.0,7
b0087.wav,training-b,1,8.0,7
b0088.wav,training-b,1,8.0,7
b0089.wav,training-b,1,8.0,7
b0090.wav,training-b,1,8.0,7
b0091.wav,training-b,1,8.0,7
b0092.wav,training-b,1,8.0,7
b0093.wav,training-b,1,8.0,7
b0094.wav,training-b,1,8.0,7
b0095.wav,training-b,1,8.0,7
b0096.wav,training-b,-1,8.0,7
b0097.wav,training-b,1,8.0,7
b0098.wav,training-b,1,8.0,7
b0099.wav,training-b,1,8.0,7
b0100.wav,training-b,1,8.0,7
b0101.wav,training-b,1,8.0,7
b0102.wav,training-b,1,8.0,7
b0103.wav,training-b,1,8.0,7
b0104.wav,training-b,1,8.0,7
b0105.wav,training-b,1,8.0,7
b0106.wav,training-b,-1,8.0,7
b0107.wav,training-b,1,8.0,7
b0108.wav,training-b,1,8.0,7
b0109.wav,training-b,1,8.0,7
b0110.wav,training-b,1,8.0,7
b0111.wav,training-b,1,8.0,7
b0112.wav,training-b,1,8.0,7
b0113.wav,training-b,1,8.0,7
b0114.wav,training-b,1,8.0,7
b0115.wav,training-b,1,8.0,7
b0116.wav,training-b,1,8.0,7
b0117.wav,training-b,-1,8.0,7
b0118.wav,training-b,1,8.0,7
b0119.wav,training-b,1,8.0,7
b0120.wav,training-b,-1,8.0,7
b0121.wav,training-b,1,8.0,7
b0122.wav,training-b,1,7.85,6
b0123.wav,training-b,1,8.0,7
b0124.wav,training-b,1,8.0,7
b0125.wav,training-b,1,8.0,7
b0126.wav,training-b,1,8.0,7
b0127.wav,training-b,1,8.0,7
b0128.wav,training-b,1,7.76,6
b0129.wav,training-b,1,8.0,7
b0130.wav,training-b,-1,8.0,7
b0131.wav,training-b,1,8.0,7
b0132.wav,training-b,1,8.0,7
b0133.wav,training-b,1,8.0,7
b0134.wav,training-b,1,8.0,7
b0135.wav,training-b,1,8.0,7
b0136.wav,training-b,-1,8.0,7
b0137.wav,training-b,-1,8.0,7
b0138.wav,training-b,1,8.0,7
b0139.wav,training-b,1,8.0,7
b0140.wav,training-b,-1,8.0,7
b0141.wav,training-b,1,8.0,7
b0142.wav,training-b,1,8.0,7
b0143.wav,training-b,1,8.0,7
b0144.wav,training-b,1,8.0,7
b0145.wav,training-b,1,8.0,7
b0146.wav,training-b,1,8.0,7
b0147.wav,training-b,1,8.0,7
b0148.wav,training-b,-1,8.0,7
b0149.wav,training-b,1,8.0,7
b0150.wav,training-b,1,8.0,7
b0151.wav,training-b,1,7.36,6
b0152.wav,training-b,1,8.0,7
b0153.wav,training-b,1,8.0,7
b0154.wav,training-b,1,8.0,7
b0155.wav,training-b,-1,8.0,7
b0156.wav,training-b,1,8.0,7
b0157.wav,training-b,1,8.0,7
b0158.wav,training-b,1,8.0,7
b0159.wav,training-b,-1,8.0,7
b0160.wav,training-b,1,8.0,7
b0161.wav,training-b,1,8.0,7
b0162.wav,training-b,1,8.0,7
b0163.wav,training-b,1,8.0,7
b0164.wav,training-b,-1,8.0,7
b0165.wav,training-b,1,8.0,7
b0166.wav,training-b,1,8.0,7
b0167.wav,training-b,1,8.0,7
b0168.wav,training-b,1,8.0,7
b0169.wav,training-b,1,8.0,7
b0170.wav,training-b,1,8.0,7
b0171.wav,training-b,-1,8.0,7
b0172.wav,training-b,1,8.0,7
b0173.wav,training-b,1,8.0,7
b0174.wav,training-b,1,8.0,7
b0175.wav,training-b,1,8.0,7
b0176.wav,training-b,-1,8.0,7
b0177.wav,training-b,1,8.0,7
b0178.wav,training-b,1,8.0,7
b0179.wav,training-b,1,8.0,7
b0180.wav,training-b,1,8.0,7
b0181.wav,training-b,1,8.0,7
b0182.wav,training-b,1,8.0,7
b0183.wav,training-b,1,8.0,7
b0184.wav,training-b,1,8.0,7
b0185.wav,training-b,1,8.0,7
b0186.wav,training-b,1,8.0,7
b0187.wav,training-b,1,8.0,7
b0188.wav,training-b,1,8.0,7
b0189.wav,training-b,1,8.0,7
b0190.wav,training-b,-1,8.0,7
b0191.wav,training-b,1,8.0,7
b0192.wav,training-b,1,8.0,7
b0193.wav,training-b,1,8.0,7
b0194.wav,training-b,1,8.0,7
b0195.wav,training-b,1,8.0,7
b0196.wav,training-b,1,8.0,7
b0197.wav,training-b,-1,8.0,7
b0198.wav,training-b,1,8.0,7
b0199.wav,training-b,1,8.0,7
b0200.wav,training-b,1,8.0,7
b0201.wav,training-b,1,8.0,7
b0202.wav,training-b,1,8.0,7
b0203.wav,training-b,1,8.0,7
b0204.wav,training-b,1,8.0,7
b0205.wav,training-b,1,8.0,7
b0206.wav,training-b,1,8.0,7
b0207.wav,training-b,1,8.0,7
b0208.wav,training-b,-1,8.0,7
b0209.wav,training-b,1,8.0,7
b0210.wav,training-b,1,8.0,7
b0211.wav,training-b,1,8.0,7
b0212.wav,training-b,1,8.0,7
b0213.wav,training-b,1,8.0,7
b0214.wav,training-b,1,8.0,7
b0215.wav,training-b,1,8.0,7
b0216.wav,training-b,1,8.0,7
b0217.wav,training-b,1,8.0,7
b0218.wav,training-b,1,8.0,7
b0219.wav,training-b,1,8.0,7
b0220.wav,training-b,1,8.0,7
b0221.wav,training-b,-1,8.0,7
b0222.wav,training-b,1,8.0,7
b0223.wav,training-b,1,8.0,7
b0224.wav,training-b,-1,8.0,7
b0225.wav,training-b,1,8.0,7
b0226.wav,training-b,1,8.0,7
b0227.wav,training-b,1,8.0,7
b0228.wav,training-b,1,8.0,7
b0229.wav,training-b,1,8.0,7
b0230.wav,training-b,1,8.0,7
b0231.wav,training-b,1,8.0,7
b0232.wav,training-b,-1,8.0,7
b0233.wav,training-b,-1,8.0,7
b0234.wav,training-b,1,8.0,7
b0235.wav,training-b,-1,8.0,7
b0236.wav,training-b,1,8.0,7
b0237.wav,training-b,1,8.0,7
b0238.wav,training-b,-1,8.0,7
b0239.wav,training-b,-1,8.0,7
b0240.wav,training-b,1,8.0,7
b0241.wav,training-b,1,8.0,7
b0242.wav,training-b,-1,8.0,7
b0243.wav,training-b,-1,8.0,7
b0244.wav,training-b,1,8.0,7
b0245.wav,training-b,1,8.0,7
b0246.wav,training-b,1,8.0,7
b0247.wav,training-b,1,8.0,7
b0248.wav,training-b,-1,8.0,7
b0249.wav,training-b,1,8.0,7
b0250.wav,training-b,1,8.0,7
b0251.wav,training-b,-1,8.0,7
b0252.wav,training-b,1,8.0,7
b0253.wav,training-b,-1,8.0,7
b0254.wav,training-b,1,8.0,7
b0255.wav,training-b,1,8.0,7
